review_number,title,link
Review_001,Curriculum by Smoothing,https://arxiv.org/abs/2003.01367v5
Review_002,Contrastive Representation Distillation,https://arxiv.org/abs/2103.16367v1
Review_003,Are Deep Neural Architectures Losing Information? Invertibility Is Indispensable?,https://arxiv.org/abs/2009.03173v2
Review_004,Deep Double Descent: Where Bigger Models and More Data Hurts,https://arxiv.org/abs/1912.02292v1
Review_005,Single Headed Attention RNN: Stop Thinking With Your Head,https://arxiv.org/abs/1911.11423v2
Review_006,A Metric Learning Reality Check,https://arxiv.org/abs/2003.08505v3
Review_007,PeerNets: Exploiting Peer Wisdom Against Adversarial Attacks,https://arxiv.org/abs/1806.00088v1
Review_008,Adversarial Concurrent Training: Optimizing Robustness and Accuracy Trade-off of Deep Neural Networks,https://arxiv.org/abs/2104.00322v4
Review_009,Benchmarking Neural Network Training Algorithms,https://arxiv.org/abs/2110.12773v1
Review_010,Meta-Learning with Implicit Gradients,https://arxiv.org/abs/1909.04630v1
Review_011,A causal view of compositional zero-shot recognition,https://arxiv.org/abs/2006.14610v2
Review_012,Alias-Free Generative Adversarial Networks,https://arxiv.org/abs/2106.12423v4
Review_013,AVAE: Adversarial Variational AutoEncoder,https://arxiv.org/abs/2012.11551v1
Review_014,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",https://arxiv.org/abs/1910.13461v1
Review_015,Bringing a GAN to a Knife-Fight: Adapting Malware Communication to Avoid Detection,https://arxiv.org/abs/2109.04344v3
Review_016,COCO-LM: Correcting and Contrasting Text Sequences for Language Model Pretraining,https://arxiv.org/abs/2212.10341v2
Review_017,CoMatch: Semi-supervised Learning with Contrastive Graph Regularization,https://arxiv.org/abs/2011.11183v2
Review_018,Contrastive Learning Of Medical Visual Representations From Paired Images And Text,https://arxiv.org/abs/2310.08884v1
Review_019,Deep VULMAN: A Deep Reinforcement Learning-Enabled Cyber Vulnerability Management Framework,https://arxiv.org/abs/2208.02369v2
Review_020,DETReg: Unsupervised Pretraining with Region Priors for Object Detection,https://arxiv.org/abs/2106.04550v5
Review_021,SafeDiffuser: Safe Planning with Diffusion Probabilistic Models,https://arxiv.org/abs/2306.00148v1
Review_022,PIX2SEQ: A LANGUAGE MODELING FRAMEWORK FOR OBJECT DETECTION,https://arxiv.org/abs/2109.10852v2
Review_023,Make-A-Video: Text-to-Video Generation without Text-Video Data,https://arxiv.org/abs/2311.10982v1
Review_024,RLPrompt: Optimizing Discrete Text Prompts with Reinforcement Learning,https://arxiv.org/abs/2205.12548v3
Review_025,Improving Self-supervised Learning with Automated Unsupervised Outlier Arbitration,https://arxiv.org/abs/2112.08132v1
Review_026,What does a platypus look like? Generating customized prompts for zero-shot image classification,https://arxiv.org/abs/2209.03320v3
Review_027,Meta-AAD: Active Anomaly Detection with Deep Reinforcement Learning,https://arxiv.org/abs/2009.07415v1
Review_028,Kitsune: An Ensemble of AutoEncoders for Online Network Intrusion Detection,https://arxiv.org/abs/1802.09089v2
Review_029,Language Modeling via Stochastic Processes,https://arxiv.org/abs/2203.11370v2
Review_030,Diffusion-LM Improves Controllable Text Generation,https://arxiv.org/abs/2205.14217v1
Review_031,Understanding Contrastive Representation Learning through Alignment and Uniformity on the Hypersphere,https://arxiv.org/abs/2005.10242v10
Review_032,GAN-Control: Explicitly Controllable GANs,https://arxiv.org/abs/2101.02477v2
Review_033,PreTrained Image Processing Transformer,https://arxiv.org/abs/2307.05222v2
Review_034,Identifying Mislabeled Data using the Area Under the Margin Ranking,https://arxiv.org/abs/2001.10528v4
Review_035,Regularizing Towards Permutation Invariance in Recurrent Models,https://arxiv.org/abs/2010.13055v1
Review_036,Sequence-to-Sequence Contrastive Learning for Text Recognition,https://arxiv.org/abs/2012.10873v1
Review_037,Teaching with Commentaries,https://arxiv.org/abs/2011.03037v2
Review_038,Removing Bias in Multi-modal Classifiers: Regularization by Maximizing Functional Entropies,https://arxiv.org/abs/2010.10802v1
Review_039,Supermasks in Superposition,https://arxiv.org/abs/2006.14769v3
Review_040,Unsupervised Learning of Visual Features by Contrasting Cluster Assignments,https://arxiv.org/abs/2006.09882v5
Review_041,Improving GAN Training with Probability Ratio Clipping and Sample Reweighting,https://arxiv.org/abs/2006.06900v4
Review_042,Representation Learning via Invariant Causal Mechanisms,https://arxiv.org/abs/2010.07922v1
Review_043,Sharpness-Aware Minimization for Efficiently Improving Generalization,https://arxiv.org/abs/2211.05729v2
Review_044,TransGAN: Two Transformers Can Make One Strong GAN,https://arxiv.org/abs/2102.07074v4
Review_045,Rethinking Attention With Performers,https://arxiv.org/abs/2009.14794v4
Review_046,Discriminator Rejection Sampling,https://arxiv.org/abs/1810.06758v3
Review_047,Perceiver: General Perception with Iterative Attention,https://arxiv.org/abs/2202.10890v2
Review_048,VAEBM: A symbiosis between autoencoders and energy-based models,https://arxiv.org/abs/2010.00654v3
Review_049,"Exemplar VAE: Linking Generative Models, Nearest Neighbor Retrieval, and Data Augmentation",https://arxiv.org/abs/2004.04795v3
Review_050,Language Through a Prism: A Spectral Approach for Multiscale Language Representation,https://arxiv.org/abs/2011.04823v1
Review_051,Explaining in Style: Training a GAN to explain a classifier in StyleSpace,https://arxiv.org/abs/2104.13369v2
Review_052,Neuron Shapley: Discovering the Responsible Neurons,https://arxiv.org/abs/2002.09815v3
Review_053,Learning to summarize from human feedback,https://arxiv.org/abs/2410.13116v2
Review_054,Robust Optimal Transport with Applications in Generative Modeling and Domain Adaptation,https://arxiv.org/abs/2210.16894v1
Review_055,InfoBERT: Improving Robustness of Language Models from an Information Theoretic Perspective,https://arxiv.org/abs/2010.02329v4
Review_056,Meta-Learning Requires Meta-Augmentation,https://arxiv.org/abs/2007.05549v2
Review_057,Geometric Dataset Distances via Optimal Transport,https://arxiv.org/abs/2002.02923v1
Review_058,Gradient Descent with Early Stopping is Provably Robust to Label Noise for Overparameterized Neural Networks,https://arxiv.org/abs/1903.11680v3
Review_059,Unsupervised Discovery of Interpretable Directions in the GAN Latent Space,https://arxiv.org/abs/2307.08012v1
Review_060,Diffusion Models Beat GANs on Image Synthesis,https://arxiv.org/abs/2301.03396v2
Review_061,PonderNet: Learning to Ponder,https://arxiv.org/abs/2107.05407v2
Review_062,Taming Transformers for High-Resolution Image Synthesis,https://arxiv.org/abs/2012.09841v3
Review_063,Soft-IntroVAE: Analyzing and Improving the Introspective Variational Autoencoder,https://arxiv.org/abs/2012.13253v2
Review_064,PDE-GCN: Novel Architectures for Graph Neural Networks Motivated by Partial Differential Equations,https://arxiv.org/abs/2210.05495v1
Review_065,"TRAIN SHORT, TEST LONG: ATTENTION WITH LINEAR BIASES ENABLES INPUT LENGTH EXTRAPOLATION",https://arxiv.org/abs/2108.12409v2
Review_066,VICReg: Variance-Invariance-Covariance Regularization for Self-Supervised Learning,https://arxiv.org/abs/2105.04906v3
Review_067,Grokking: Generalization beyond Overfitting on small algorithmic datasets,https://arxiv.org/abs/2210.01117v2
Review_068,PATCHES ARE ALL YOU NEED?,https://arxiv.org/abs/2201.09792v1
Review_069,SIMVLM: SIMPLE VISUAL LANGUAGE MODEL PRE-TRAINING WITH WEAK SUPERVISION,https://arxiv.org/abs/2108.10904v3
Review_070,Typical Decoding for Natural Language Generation,https://arxiv.org/abs/2202.00666v6
Review_071,Deep Reinforcement Learning for Cyber System Defense under Dynamic Adversarial Uncertainties,https://arxiv.org/abs/2302.01595v1
Review_072,Unifying Large Language Models and Knowledge Graphs: A Roadmap,https://arxiv.org/abs/2306.08302v3
Review_073,Diffusion Models for Zero-Shot Open-Vocabulary Segmentation,https://arxiv.org/abs/2301.05221v2
Review_074,Self-Supervised Learning from Images with a Joint-Embedding Predictive Architecture,https://arxiv.org/abs/2410.19560v1
Review_075,Recurrent Memory Decision Transformer,https://arxiv.org/abs/2306.09459v5
Review_076,Gradient is All You Need?,https://arxiv.org/abs/2306.09778v1
Review_077,Diffusion with Forward Models: Solving Stochastic Inverse Problems Without Direct Supervision,https://arxiv.org/abs/2306.11719v2
Review_078,Fast Segment Anything,https://arxiv.org/abs/2306.12156v1
Review_079,SqueezeLLM: Dense-and-Sparse Quantization,https://arxiv.org/abs/2306.07629v4
Review_080,SDXL: Improving Latent Diffusion Models for High-Resolution Image Synthesis,https://arxiv.org/abs/2307.01952v1
Review_081,Segment Anything Meets Point Tracking,https://arxiv.org/abs/2307.01197v2
Review_082,SayPlan: Grounding Large Language Models using 3D Scene Graphs for Scalable Task Planning,https://arxiv.org/abs/2307.06135v2
Review_083,HyperDreamBooth: HyperNetworks for Fast Personalization of Text-to-Image Models,https://arxiv.org/abs/2307.06949v2
Review_084,Learning to Retrieve In-Context Examples for Large Language Models,https://arxiv.org/abs/2405.05116v3
